utterance,empathy,distance,similarity,grammatical_errors
"I'm sorry that I can't see any defense mechanism in our conversation. If you don't mind, are you willing to play it again or end the conversation now?",2.0,5,0.9722801446914672,0
"That is ok, thank you. I know that this may be difficult for you to discuss, but your information was very useful.",2.0,17,0.6260329484939575,0
"That's really helpful, thank you. Was your childhood itself overly friendly?",2.0,11,0.7621805667877197,0
"I know it is not always easy, but everything you can tell me will help me to better understand your situation. Do you think that the feelings / attitudes that your childhood has even about {} are similar to those of their primary caregivers (such as parents or relatives who take most of the responsibility for them during childhood)?",2.0,20,0.872907280921936,0
"Thank you very much for your answer, I really want to help you. Has your childish self-behaviour become more childlike or primitive in relation to {}?",2.0,13,0.8641667366027832,1
Good job! Thank you for your cooperation. Then I wondered if this negative emotion has anything to do with the interaction of your childhood with someone else?,2.0,10,0.9692583084106444,0
"Thank you for sharing. Good to know this. Since your childhood, your self has felt {towards} but not expressed. May I ask if your childhood self has ever expressed it to some other people?",2.0,14,0.9720202684402466,0
"I understand that thinking about difficult events can sometimes be uncomfortable. In order to better understand your emotions, may I ask you whether your childhood ideal experienced a serious illness or trauma when you were physically, sexually or psychologically abused at a young age?",2.0,28,0.9149489402770996,0
"Thank you for sharing your emotions. Based on what you have said, I would say that you feel right. Are my assumptions correct? If not, do not hesitate to correct me.",2.0,15,0.9181587100028992,0
"Oh, I'm so sorry I misunderstood you. Perhaps you can tell from the list below which emotion best represents how you feel? If so, let me know by selecting it:",2.0,7,0.9553953409194946,0
"Thank you, I understand. I fully understand how you feel and it must be so hard. Does your childhood ideal feel depressed or like a failure from time to time?",2.0,9,0.94331157207489,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Do you feel that your present emotion may have been caused by a particular event or event? You can be open to me.",2.0,8,0.9540067911148072,0
"I am sorry, this must have been hard. May I also ask if it was caused by a current or distant event (or events)? I hope you did not suffer too much from this event.",2.0,4,0.9795607924461364,0
"Okay, thank you for that. Have you tried Protocol 9 and triggered the same difficult emotions you felt in this event? If so, I hope you have not suffered too much from this exercise.",2.0,14,0.9548049569129944,0
"Knowing that your feelings are important to me, I must ask you about your previous interactions with the Protocols. Could you try Protocol 10, and if so, did you feel that the Protocol evoked the same difficult emotions that you have experienced in the past? If so, I hope that you have not suffered too much from this exercise.",2.0,20,0.9703839421272278,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further, and in order to understand in detail why you feel this way, I would now like to ask you a few questions, if you will allow me.",2.0,18,0.9448964595794678,0
"I would like to continue with a few more questions, if you agree, so that I can better understand your situation. Would you say that {has} a negative attitude toward your childhood itself?",2.0,21,0.913943886756897,0
"That is good! I am glad to hear that you are doing well now. But, since my job is to help people deal better with difficult emotions, I have an unusual favor to ask to continue the conversation. If you will allow me, could you try to recall a painful episode when you had difficult emotions in the past?",2.0,16,0.9615472555160522,1
"Overcoming difficult emotions is not easy. To help you, I have put together a few tips on how to deal with negative feelings that could be useful to you.",2.0,30,0.9004141092300415,0
"Welcome back, has this protocol made you feel better or worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,10,0.9297176599502563,0
"Good, that's great to hear. How about we try another one and see how it goes?",2.0,4,0.8758409023284912,0
"Okay, don't worry, we have a few more that might work better for you. Perhaps we should sit down and try another protocol that might be more beneficial to you?",2.0,3,0.9851376414299012,0
"Unfortunately, I cannot fully understand what is going on in your feelings at the moment, so could you please allow me to start the conversation again or try again next time?",1.0,14,0.845352053642273,0
"Thank you. I know this may be difficult for you to discuss, but your information was very useful. Does it bother you to tell me if you have ever had a real struggle with {}?",2.0,10,0.7627259492874146,0
"Thank you very much, this is really helpful. Do you think that your childhood experience is sometimes far too friendly?",2.0,9,0.7168093323707581,0
"Thank you, I fully understand your situation. I know that it is not always easy, but everything you can tell me will help me to better understand your situation. Can I also ask if the feelings / attitudes that your childhood has even about {} are similar to those of its primary caregivers? For example, parents or relatives, who take most of the responsibility to take care of them during childhood.",2.0,18,0.9579130411148072,0
Thank you very much for your answer. I really want to better understand your emotions and help you. Do you feel that your childhood ideal can sometimes have certain behaviors toward {} that can be considered childish or primitive?,2.0,20,0.8327224850654602,0
"Thank you for sharing. I understand that it can be difficult, but I would very much appreciate it if you could share this with me. May I ask you if you think that your negative emotions result from the interaction of your childhood with someone else?",2.0,16,0.9381054639816284,0
"I understand, thank you for letting me know. So you find that your childhood self has felt towards {itself} but kept it to itself. Now, I wondered if your childhood self releases these pent-up emotions towards someone else?",2.0,14,0.968431830406189,0
"I am so sorry, but would you mind telling me if you yourself suffered a serious illness / trauma in your childhood that you could suffer physical, sexual or psychological abuse? I understand that thinking about difficult events can sometimes be uncomfortable, but I will help you deal with difficult emotions and give you some suggestions later.",2.0,18,0.9488651156425476,0
"Thank you for sharing your emotions. It sounds like your are {right}, is that correct? Please do not hesitate to correct me if not.",2.0,5,0.9401548504829408,1
"I'm sorry, maybe I'm not the best at reading people. It would be really helpful if you could pick a feeling from it that really reflects how you feel. If so, please let me know by selecting it:",2.0,9,0.8504701852798462,0
"I understand, thank you for taking the time to answer that. I feel you are perfect, it must be difficult. Does your childhood ideal feel miserable or defeated from time to time?",2.0,17,0.8535017967224121,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Has something happened to you that makes you feel this way? You can be open with me.",2.0,9,0.9598113298416138,0
"I am sorry, this must have been hard. May I also ask if it was caused by a current or distant event (or events)? Either way, I hope it was not too traumatic for you.",2.0,6,0.9752153754234314,0
"Okay, thank you for that. Did you happen to try protocol 9 and do you think that this might be the reason why you have these negative feelings? If that happened, I hope that you did not suffer too much from this exercise.",2.0,11,0.9828664064407348,0
"Thank you for sharing this with me, I understand that it can be difficult. Have you tried protocol 10 recently and found that it has revived uncontrollable emotions stemming from past events? If that has happened, I hope that you have not suffered too much from this exercise.",2.0,15,0.945752739906311,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further, and I will ask you a few questions so that we can get to the bottom of what is worrying you.",2.0,9,0.9301916360855104,0
"I appreciate that you share this with me. I am in tune with your emotions and we will understand how to overcome them. If you don't mind, do you feel that {you} have a negative attitude to yourself in childhood?",2.0,17,0.9427051544189452,1
"I am sorry to disturb you, but my job is to help people cope better with difficult emotions, and in order to continue the conversation, may I kindly ask you to recall a painful episode when you had difficult emotions in the past?",2.0,17,0.9134463667869568,0
"I fully understand this situation and frankly it is not easy to overcome negative feelings, but there are definitely some helpful tips you can try.",2.0,20,0.7781568765640259,1
"Thank you and welcome back, how do you feel after the conclusion of this protocol, better or worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,13,0.9045431017875672,0
"I'm so glad you're doing better, I think that's great! How about we try another one and see how it goes?",2.0,6,0.8986486196517944,0
We are sorry to hear that you are worse off. How about we try another one and see how it goes?,2.0,12,0.8844128847122192,0
"I cannot fully understand what is going on in your feelings at the moment, so could you please allow me to start the conversation again or try again next time?",1.0,17,0.835297703742981,0
"I know it may be difficult for you to discuss this, but your information has been very useful, so may I ask whether you have had an extreme conflict with, for example, a fight?",2.0,9,0.970024585723877,0
"Thank you for sharing, it helps me understand what you went through. Do you think your childhood was treated too kindly?",2.0,11,0.8258000016212463,0
"I know it is not always easy, but everything you can tell me will help me better understand your situation. May I ask, does your childhood ideal have similar feelings towards your primary caregivers?",2.0,21,0.8181540966033936,0
Thank you for your answer. I would really like to better understand your emotions and help you. Do you think your childhood self behave more childlike to {}?,2.0,11,0.8965590000152588,0
"Thank you very much for your answer. If it is all right, can you please tell me if this negative emotion is more or less related to the interaction of your childhood with someone else?",2.0,18,0.8986061811447144,0
"Okay, thank you for your answer. Could you please tell me if your childhood self expressed this negative emotion towards someone else if you don't mind?",2.0,23,0.9157858490943908,0
"Thank you, I appreciate your cooperation. Has your childhood ideal ever experienced a serious illness or perhaps trauma, such as physical, sexual or psychological abuse? I know that it can be very uncomfortable to think of difficult events from your past, but I am here to better understand your situation.",2.0,27,0.9486445784568788,0
"Thank you, I just want to make sure that we are on the same page. If I understand you correctly, is that correct? If not, you are welcome to correct me.",2.0,12,0.8708915114402771,0
"It would be really helpful if you could choose a feeling below that really reflects how you feel. If so, please let me know by selecting it:",2.0,16,0.6153843402862549,0
Thank you very much for your answer: may I ask you if your childhood ideal falls into depressive thoughts from time to time or the feeling of being a failure?,1.0,21,0.9182701110839844,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Could this have anything to do with a particular event? You can be open to me.",2.0,7,0.9608136415481568,0
"Do you think that something younger caused this feeling, or was it something more distant? I hope you did not suffer too much from this event.",2.0,8,0.7587916851043701,0
"Okay, thank you for that. Have you tried protocol 9 and, if so, has looking back at this recent event reopened wounds that caused an outburst of emotion? If so, I hope you have not suffered too much from this exercise.",2.0,11,0.9196545481681824,0
"I am very sorry that you are going through this. Could you try Protocol 10, and if so, did you feel that the Protocol evoked the same difficult emotions that you have experienced in the past? If so, I hope that you have not suffered too much from this exercise.",2.0,19,0.9428569078445436,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further. If it is all right, I will ask a few questions to better understand what you are going through.",2.0,12,0.9503720998764038,0
"I am in tune with your emotion and we will understand how to overcome it. Now I have a few more questions that I would like to ask, as I hope it will help me better understand your situation. Do you think that your childhood self has experienced some negative attitudes towards them?",2.0,23,0.9294865131378174,1
"It is very nice for me to see that you are feeling so good today!! Life has ups and downs and it is great to learn to overcome less happy moments and enjoy the good days. As we are happy to continue the conversation, do you mind remembering a time when you had to deal with some negative emotions?",2.0,19,0.9646206498146056,1
"I understand that you are having difficulties, and based on what you have told me, I have selected some protocols that may be helpful to you.",2.0,20,0.9014482498168944,0
"Thank you, I hope that has been helpful to you, has this protocol made you feel better or worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,12,0.9354261755943298,0
"I am so glad that you are doing better, I think that is great! Would you like to continue with another protocol?",2.0,7,0.9268859624862672,0
"I am really sorry to hear that, but perhaps we should sit down and try another protocol that might be more advantageous to you?",2.0,5,0.948980450630188,0
"Thank you very much for your answer, but I am sorry that I did not see a defence mechanism. Do you want to start the conversation again and give me more details?",2.0,15,0.7452958822250366,1
"Good, thank you. I know this may be hard for you to discuss, but your information was very useful. Now, I wondered if you have ever struggled with {}?",2.0,8,0.7031615972518921,0
"Thank you for sharing, it helps me understand what you went through. Did you treat yourself excessively kindly in your childhood?",2.0,11,0.873996376991272,0
"Thank you, I appreciate your answer. I know it is not always easy, but everything you can tell me will help me better understand your situation. Are the feelings / attitudes your childhood self embodies towards {} somehow related to any of their primary protectors (such as caregivers or parents who took most of the responsibility for them when they were little)?",2.0,18,0.8442638516426086,0
"Well, thank you for that. I would really like to better understand your emotion and help you. Do you think that your childhood ego behaved rather childish or primitive in dealing with {}?",2.0,12,0.8504932522773743,0
"Thank you for telling me that. If you are OK, may I ask, is there anyone who gave you these kind of negative feelings in your childhood?",2.0,15,0.8667648434638977,1
"Okay, thank you for your answer. Considering that you yourself felt something like this in your childhood, but did not express it. Is it possible for your childhood self to express it to someone?",2.0,19,0.838919460773468,0
"Thank you, I appreciate your cooperation. I feel you completely when I think of events that can sometimes hurt you. Has your childhood error ever suffered from a serious illness or trauma that has been physically, sexually or psychologically abused by people?",2.0,24,0.9014120101928712,0
"Thank you for sharing. From what you have told me, it sounds as if you {feel}, is that right? Please do not hesitate to correct me if not.",2.0,10,0.8585870265960693,0
"I am sorry, I may have misunderstood your feelings. If you could, please tell me how you are doing by selecting from the list below: If so, please let me know by selecting it:",2.0,10,0.9317644834518432,0
"I understand, thank you for taking the time to answer this. It must be very difficult for you at the moment. I fully understand how you feel. Does your childhood ideal sometimes feel depressed or like a failure?",2.0,7,0.9556899666786194,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Can you tell me if a particular event could have caused this? If so, I hope it was not too difficult for you.",2.0,9,0.9614394307136536,0
"Do you think that something younger caused this feeling, or was it something more distant? Either way, I hope it was not too traumatic for you.",2.0,10,0.7936313152313232,0
"Thank you for being so open, I am trying to figure out how best to help and how hard it is to look back at recent painful events. Have you tried Protocol 9 and felt negative emotions as a result? If that has happened, I hope you have not suffered too much from this exercise.",2.0,27,0.9278732538223268,0
"I am very sorry that you are going through this, have you tried to conclude Protocol 10 and it has led to some bad feelings being reawakened because of things that have happened in the past? If that has happened, I hope that you have not suffered too much from this exercise.",2.0,22,0.9263370037078856,1
"I am sorry that you are hurting, please bear with me while I try to investigate this further, and what I would like to do now is ask a few questions about what is going on just so that I can better understand what is going on.",2.0,11,0.9566248655319214,0
"It is nice of you to share this with me. I am in tune with your emotion, and we will understand how to overcome it. If you agree, I would like to ask you a few more questions so that I can better understand your situation. Have you noticed that {has} a negative attitude toward your childhood itself?",2.0,11,0.963370680809021,0
"Brilliant, I'm glad to hear you sound positive now! But it's also good to learn how to deal with negative emotions. Would you, to continue our conversation, remember a painful episode when you had difficult feelings?",2.0,13,0.9632816314697266,0
"I am sorry for your situation. I understand that it may not be easy to overcome difficult emotions. To help you, I have put together some tips on how to deal with negative feelings that could be useful to you.",2.0,28,0.9041702747344972,0
"Thank you, I hope that has been helpful to you. Now that the Minutes are ready, do you feel any different than before? I really hope that the Minutes have helped you, but do not hesitate to tell me if that is not the case.",2.0,20,0.5548181533813477,1
"I'm so glad you're doing better, I think that's great! Would you like to try something new now?",2.0,3,0.9449243545532228,0
"Not every protocol works for everyone, and that's fine, I would recommend not giving up and trying again.",2.0,11,0.8934656381607056,0
"Excuse me, but I cannot see any defence mechanism from what you have told me, would you prefer to end the conversation now or play it again?",1.0,11,0.8767910003662109,1
"I understand, thank you. I know this may be hard for you to discuss, but your information was very useful. Have you ever struggled with {}?",2.0,7,0.7393233776092529,0
"Okay, thank you for your honesty. I understand that you had negative feelings towards {yourself} in your childhood, but has it happened that you were overly friendly with yourself in your childhood?",2.0,17,0.8814828395843506,0
"Thank you, I know it is not always easy, but everything you can tell me will help me better understand your situation. Are the feelings / attitudes you have about yourself as a child similar to those of your primary caregivers (such as parents or relatives, who take most of the responsibility to take care of them when they were little)?",2.0,19,0.95457923412323,0
"Well, thank you for that. I really want to better understand your emotions and help you. Then, I would like to ask if your childish self-behaviors with respect to {} are to some extent more childish or primitive?",2.0,25,0.8341281414031982,0
"I understand that it can be difficult, but I would appreciate it if you could share this with me. May I ask, are the present feelings of your childhood consciousness due to something that happened to a particular person?",2.0,17,0.8384560346603394,0
"Thank you for opening up to me. I want to help you understand your negative thoughts. From what you have said, your childhood self has felt {towards} but not expressed, but has your childhood self transferred it to another person?",2.0,15,0.957557499408722,0
"It can be unpleasant to think of difficult events that have occurred, but I am here for you to understand your situation better, I hope you do not mind asking me whether your childhood mistake has ever experienced a serious illness or trauma, for example, whether your childhood mistake has ever been physically, sexually or psychologically abused by others.",2.0,21,0.8437418341636658,0
"Thank you very much for opening up to me. From what you have told me, I would say that you are feeling that way right now, does that sound right? Please do not hesitate to correct me if not.",2.0,9,0.8563469648361206,0
"I am sorry, I may have misunderstood your feelings. Please give me a little help to understand that from this list of emotions you can choose the one that best describes what you are feeling:",2.0,21,0.9343637228012084,0
"I fully understand how you feel and it must be so hard. Did your childhood ideal feel from time to time pessimistic, depressed or even like a failure?",2.0,20,0.8907179236412048,0
"I am sorry to hear that you are not well. So that I can help you better, could you tell me if a particular event has made you feel that way? You can be open to me.",2.0,11,0.897629976272583,0
Would you say that it was a current or distant event (or events) that caused this emotion? I hope you have not suffered too much from this event.,2.0,9,0.8768641948699951,0
"Thank you for being so open, I am trying to figure out how best to help and how difficult it is to look back at the recent painful events. Have you noticed that, due to recent events, there have been intolerable emotions arising from the attempt to protocol 9 (if you have tried)? If that has happened, I hope that you have not suffered too much from this exercise.",2.0,40,0.9275544285774232,0
"I am very sorry that you are going through this. Have you noticed that, due to past events, there have been intolerable emotions arising from the attempt to protocol 10 (if you have tried)? If so, I hope that you have not suffered too much from this exercise.",2.0,30,0.940889060497284,0
"Thank you, I am sorry that you are trying to fight and help, but what I would like to do now is to ask a few questions about what is going on, just so that I can better understand what is happening.",2.0,17,0.8027883768081665,0
I appreciate that you share this with me. I am in tune with your emotions and we will understand how to overcome them. Do you feel like {had} negative feelings towards your childhood self?,2.0,12,0.9569134712219238,1
"Brilliant! I am glad to hear that you are doing well now, but since my job is to help people cope better with difficult emotions, I have an unusual favor to continue the conversation. May I ask you to recall a painful experience you have had in the past?",2.0,14,0.9536700248718262,0
Emotions can be hard to overcome. I have collected some helpful tips for dealing with negative feelings.,2.0,12,0.9333123564720154,0
"Has this protocol made you feel better or worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,14,0.9064357876777648,0
"I'm so glad you're doing better, I think it's great! Would you like to try something new?",2.0,3,0.941979169845581,0
"I am sorry to hear that you are worse off. I have other suggestions that could help, if you like.",2.0,3,0.9506654143333436,0
"I am sorry that I cannot see any defence mechanism from what you have told me, do you want to end our conversation here or are you more willing to try again?",2.0,7,0.9040769338607788,1
"Thank you very much, that is fine. I know that this may be difficult for you to discuss, but your information was very useful.",2.0,19,0.6340804696083069,0
"Thank you for sharing this, it is really helpful. Would you consider your childhood to be overly friendly to {?} yourself?",2.0,10,0.9259576201438904,0
"Thank you, I know it is not always easy, but everything you can tell me will help me to better understand your situation. Are the feelings of your childhood towards the parents / relatives who looked after you in the first place when they were little the same?",2.0,24,0.8965240716934204,0
"Well, thank you for that. I would really like to better understand your emotion and help you. Would you refuse to share when your childish self-behaviors with respect to {childish} become more?",2.0,19,0.8136063814163208,0
"Okay, thank you for that. Does it bother you to say whether this negative emotion has anything to do with the interaction of your childhood with someone else? Maybe there is more than one person?",2.0,15,0.9164169430732728,0
"I understand, thank you for letting me know. So, your childhood self felt {towards} but did not express it. Then, I wondered if it is possible that your childhood self is now expressing it to someone else?",2.0,16,0.9715566039085388,0
"Thank you, I appreciate your cooperation. Has your childhood trauma ever experienced a serious illness or trauma that people have physically, sexually or psychologically abused? I understand that thinking about difficult events can sometimes be uncomfortable, but I will help you deal with difficult emotions and give you some suggestions later.",2.0,16,0.9521146416664124,0
"Thank you very much for your openness. I think you might feel that way, do you think that is true? If not, you are welcome to correct me.",2.0,18,0.8783602714538574,0
"I'm sorry, I must have misunderstood. Can you tell me how you feel by selecting the right emotion from the list below? If so, let me know by selecting it:",2.0,8,0.8717237710952759,0
"I fully understand how you feel. If you look back on your childhood, do you think your childhood self is depressed or feels like a failure?",2.0,19,0.9352665543556212,0
"I am sorry to hear this, I can tell you. Can you tell me if this was caused by a particular event? If so, I hope it was not too difficult for you.",2.0,10,0.8995335698127747,0
"Would you say that it was a current or distant event (or events) that caused this emotion? Either way, I hope it was not too traumatic for you.",2.0,9,0.8896005749702454,0
"I am very sorry that you are going through this; have you recently tried to go through Protocol 9 and, as a result, had uncontrolled emotions rekindled by things that have happened in the recent past? If that has happened, I hope that you have not suffered too much from this exercise.",2.0,19,0.9758586883544922,0
"I am very sorry that you are going through this. Have you tried protocol 10, and if so, have you had negative thoughts about the past that have led you to get stuck in this event? If so, I hope that you have not suffered too much from this exercise.",2.0,20,0.9155943393707277,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further. If it is all right, I will ask a few questions to better understand what you are going through.",2.0,12,0.9503720998764038,0
"I am in tune with your emotion, and we will understand how to overcome it. If you agree, I would like to ask a few more questions so that I can better understand your situation. Do you think that {has} a negative attitude towards your childhood itself?",2.0,14,0.8657475709915161,0
"This is wonderful, I am glad to hear that you are doing well! But my job is to help people deal with difficult emotions better, so I have an unusual favor to continue the conversation. Could you please try to remember a painful episode when you had difficult emotions in the past, when you are doing well?",2.0,25,0.941925287246704,0
"Overcoming difficult emotions is not easy. To help you, I have put together some tips on how to deal with negative emotions that could be useful to you.",2.0,14,0.9626900553703308,0
"How do you feel after the conclusion of this protocol, better or worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,17,0.862653374671936,0
"Okay, that's great to hear. Would you feel even better trying another protocol?",2.0,5,0.9536847472190856,0
"I am sorry to hear that you are worse off, could I offer you another suggestion to try?",1.0,8,0.9307482242584229,0
I am sorry that I cannot see any defence mechanism from what you have told me. Would you like to give me another chance to play it again or to end the conversation now?,2.0,6,0.914518654346466,1
