utterance,empathy,distance,similarity,grammatical_errors
"If you don't mind, are you ready to repeat it or finish the conversation now?",1.0,17,0.6097196340560913,0
"That's fine, thank you. I know it can be difficult for you to discuss, but your information has been very helpful.",2.0,16,0.5340256094932556,0
"This is really useful, thank you. Did your childhood treat yourself with excitement and benevolence?",2.0,10,0.6420361995697021,0
"Cool, thanks for the answer. I know it's not always easy, but everything you can tell me will help me understand your situation better. Do you think the feelings / attractions your childhood experiences are similar to those of any of their primary caregivers (such as parents or relatives, who take most of the responsibility for their care during childhood)?",2.0,27,0.8970397710800171,1
"Thank you for your answer, I would very much like to help. Has your childish behavior become more childish or primitive in relation to {}?",2.0,10,0.7378441691398621,0
Good job! Thank you very much for your cooperation. Then I wondered if this negative emotion had anything to do with your childhood's interaction with someone else?,2.0,6,0.965831458568573,0
"Thank you for sharing. Good to know this. From childhood, your ""self"" felt but did not express {} in relation to {}. May I ask if your ""self"" ever expressed this in relation to any other people?",2.0,19,0.888604462146759,0
"I understand that it is sometimes uncomfortable to reflect on difficult events. To better understand your emotions, let me ask you whether you experienced any serious illness or trauma as a child when people physically, sexually, psychologically abused you when you were young.",2.0,31,0.8895357847213745,0
"Thank you for sharing your emotions. Based on what you said, I would say that you feel {correct}, are my assumptions correct? Please feel free to correct me if not.",2.0,5,0.9726122617721558,0
"Oh, I'm so sorry I misunderstood you. Perhaps you could indicate from the list below which emotion best reflects your feelings? If so, please let me know by selecting it:",2.0,7,0.960106611251831,0
"Thank you, I understand. I fully understand how you feel and it must be so hard.",2.0,20,0.600189208984375,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Do you feel that your current emotions may have been caused by a particular event or events? You can be open with me.",2.0,6,0.9494271278381348,0
Let me also ask whether this was caused by a recent or distant event (or events)? I hope you have not been too badly affected by this event.,1.0,16,0.8549582958221436,0
"Well, thank you for that. Did you give the 9th grade a try, and did it evoke the same heavy emotions you felt about this event? If it did, I hope you weren't too hard hit by this exercise.",2.0,18,0.8072279095649719,0
"Knowing that your feelings matter to me, I must ask you about your previous interactions with Coke. If you were able to try Coke 10, and if so, did you feel that Coke caused the same difficult emotions you experienced in the past? If so, I hope you did not suffer too much from this exercise.",2.0,21,0.6223492622375488,0
"To understand why you feel this way in detail, I would like to ask you a few questions, if I may.",1.0,25,0.5664174556732178,0
I appreciate that you are sharing this with me. I would like to move on to some other issues if you agree so that I can better understand your situation.,2.0,25,0.6225849986076355,0
"That's good! I'm glad to hear you feel great now. But since my job is to help people cope better with difficult emotions, I have the unusual courtesy of asking to continue the conversation.",2.0,35,0.7288417220115662,0
"It's not easy to overcome difficult emotions. For more help, I've collected some tips on how to deal with negative feelings that you might find useful. Are you interested in trying some of them by accident?",2.0,7,0.9328529834747314,0
"Welcome! Did this king make you feel better or worse? I very much hope that the king helped you, but feel free to tell me if this is not the case.",2.0,12,0.2939572334289551,0
"Okay, it's great to hear, but what about we try another one and see how we go from there?",2.0,8,0.8706991672515869,0
"OK, don't worry, we have a few more options that might be better for you. Maybe we should sit down and try another option that might be better for you?",2.0,7,0.7981525659561157,0
"Unfortunately, I am currently unable to fully understand what is going on beneath your feelings.",1.0,19,0.6475276350975037,0
"Thank you. I know it can be difficult for you to discuss, but your information was very useful.",2.0,21,0.6063438057899475,0
Don't you think your childhood is sometimes too friendly?,0.0,15,0.6460651755332947,0
"Thank you, I fully understand your situation. I know that it is not always easy, but anything you can tell me will help me to understand your situation better.",2.0,45,0.6744130849838257,0
I would very much like to understand your emotions better and reach out to you. Do you feel that your childhood may sometimes have some special behavior toward {that} can be regarded as childish or primitive?,2.0,21,0.799992561340332,0
"I understand that it can be difficult, but I would be very grateful if you could share it with me.",2.0,27,0.5794447660446167,0
"I understand, thank you for letting me know. So you discover that your childhood-I felt for {but kept it on myself.}",2.0,25,0.7083029747009277,0
"I am very sorry, but would you not tell me if your childhood had experienced some serious illness / trauma from which they might have suffered physical, sexual or psychological abuse?",2.0,39,0.8008760809898376,0
"Thank you for sharing your emotions. Sounds as if you {are}, does it? Please feel free to correct me if not.",2.0,9,0.9638271331787108,0
"If so, please let me know by selecting it:",0.0,30,0.3113625049591064,0
"I understand, thanks for taking the time to answer that question.",1.0,24,0.3519943952560425,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Has anything happened that made you feel this way? You can be open with me.",2.0,9,0.955447793006897,0
"Let me also ask whether it was caused by a recent or distant event (or events)? In any case, I hope it was not too traumatic for you.",1.0,15,0.8881291151046753,0
"Well, thank you for that. Have you tried the 9th injection, and do you think that might be why you have such negative feelings? If it did happen, I hope you didn't suffer too much from this exercise.",2.0,15,0.8104881644248962,0
"Thank you for sharing this with me, I understand that it can be difficult. You recently tried the drug Kohl 10 and found that it brought undeniable emotions stemming from past events to life? If this happened, I hope you did not suffer too much from this exercise.",2.0,13,0.8506008982658386,0
"I am sorry that you are offended, please bear with me while I try to sort this out further.",2.0,23,0.5895600318908691,0
I appreciate that you are sharing this with me. I am in agreement with your emotions and we will figure out how to overcome them.,2.0,28,0.5764387845993042,1
"I'm sorry to bother you, but my job is to help people cope better with difficult emotions, and to continue the conversation, may I kindly ask you to recall a painful episode when you had difficult emotions in the past?",2.0,20,0.9338715076446532,0
"I fully understand the situation and, frankly, overcoming negative feelings is not easy. But there are certainly some useful tips to try.",2.0,29,0.6940240859985352,0
"Thank you and welcome back. How do you feel after this meeting, better or worse? I very much hope that the meeting helped you, but feel free to tell me if this is not the case.",2.0,9,0.6796306371688843,0
"I'm so glad you're feeling better, I think this is great! How about we try another one and see how we get on?",2.0,0,0.9999999403953552,0
It's sad to hear that you feel worse. What about trying another one and seeing how we deal with it?,2.0,13,0.8109411001205444,0
"At the moment, I cannot fully understand what is going on beneath your feelings. Please let me resume the conversation or try next time?",2.0,15,0.7898769974708557,0
"I know that this can be difficult for you to discuss, but your information has been very helpful. Let me further ask whether you had an extreme conflict with {,} for example, a fight?",2.0,9,0.9582083821296692,1
"Thanks for sharing, it helps me understand what you've been through.",1.0,15,0.5421443581581116,0
"I know that it is not always easy, but anything you can tell me will help me to understand your situation better.",2.0,30,0.5990124940872192,0
Thank you for your answer. I would very much like to understand your emotions better and reach out to you. Do you think your childish self behaves more childishly?,2.0,15,0.7180943489074707,0
"If this is normal, please tell me if this negative emotion has more or less to do with your interaction with someone else?",1.0,16,0.8005715608596802,0
"Since your childhood-I didn't express my {feelings} toward {if you don't mind}, could you please tell me if your childhood-I expressed these negative emotions toward someone else?",1.0,22,0.8329300880432129,0
"I know it can be very uncomfortable to reflect on difficult events from your past, but I am here to give you a better understanding of your situation.",2.0,45,0.508260190486908,0
"Thank you, I just want to make sure we are on the same page. If I get it right, do you feel {that}? Please feel free to correct me if not.",2.0,9,0.9037717580795288,0
"My apologies for not understanding how you really feel. It would be very helpful if you could choose an emotion below that really reflects how you feel. If so, please let me know by selecting it:",2.0,11,0.904010534286499,0
Thank you for your answer. May I ask whether your childhood experiences periods of depressive thoughts or feelings of failure from time to time?,1.0,5,0.9261083602905272,0
"Thank you for letting me know, I am terribly sorry that you feel this way. Could this be related to a specific event? You can be open with me.",2.0,8,0.9558851718902588,0
"You must be hurting right now. Do you think something recent caused this feeling, or was it something more distant? I hope you are not too badly affected by this event.",2.0,5,0.968985676765442,0
"Well, thank you for that. Have you tried the 9th injection, and if so, have you opened the wounds that caused an explosion of emotion in looking back at this recent event? If so, I hope you have not suffered too much from this exercise.",2.0,29,0.8084192276000977,0
"If you were able to try the 10th injection, and if so, did you feel that the injection evokes the same complex emotions that you experienced in the past? If this happened, I hope you did not suffer too much from this exercise.",2.0,22,0.7107875347137451,0
"I am sorry that you are offended, please bear with me while I try to explore this further.",2.0,22,0.6636030077934265,0
"Now I have a few more questions that I would like to ask, as I hope it will help me to understand your situation better. Do you think that your childhood - I experienced some negativity towards them?",2.0,36,0.7338669300079346,0
I'm very pleased to see you feel so good today!! Life has ups and downs and it's great to learn to overcome less fortunate moments and enjoy pleasant days.,2.0,36,0.861601710319519,1
"I understand that you face difficulties. Based on what you have told me, I have selected a few recipes that may be useful to you.",2.0,22,0.4968148171901703,0
"Thank you, I hope it helped you. Did it make you feel better or worse? I really hope it helped you, but feel free to tell me if it didn't.",2.0,16,0.5648326873779297,0
"I'm so glad you feel better, I think it's great!",2.0,12,0.6183329820632935,0
I am very sorry to hear this. Perhaps we should sit down and try another option that might be more beneficial to you?,2.0,5,0.8141408562660217,0
"Thank you for your answer, but I am sorry that I could not understand the mechanism of protection.",1.0,21,0.5226821899414062,0
"Okay, thank you. I know it can be difficult for you to discuss, but your information was very useful.",2.0,18,0.5922837257385254,0
"Thanks for sharing, it helps me understand what you've been through.",1.0,13,0.6203054189682007,0
"Thank you, I appreciate your answer. I know it's not always easy, but anything you can tell me will help me understand your situation better.",2.0,39,0.5249949097633362,0
"Well, thank you for that. I really would like to understand your emotions better and reach out to you. Do you think your childhood-I behaved more childishly or primitively when dealing with {}?",2.0,12,0.8351767659187317,0
"If you are all right, may I ask, is there anyone who made your childhood experience this kind of negative feelings?",1.0,14,0.8583866357803345,0
"Well, thank you for your answer. Reflecting on my childhood, I felt about {but did not express it}. Is it possible that your childhood-I express it to someone else?",2.0,14,0.7695637941360474,0
"Thank you, I very much appreciate your cooperation. I feel you completely, thinking about the events in which you suffered, sometimes it can be painful. Did your child-me ever suffer any serious illness or trauma that people subjected him to physical, sexual or psychological abuse?",2.0,25,0.8682843446731567,0
"Thank you for sharing. From what you told me, it seems that you feel {so}, does it? Please feel free to correct me if not.",2.0,9,0.8990197777748108,0
"If you could, please tell me how you feel by selecting it from the list below: If yes, please let me know by selecting it:",2.0,14,0.737707257270813,0
"I understand, thank you, that you took the time to answer this question. It must be very difficult for you now. I fully understand how you feel.",2.0,18,0.6712108254432678,0
"Thank you for letting me know, I'm terribly sorry that you feel this way. Can you tell me if a particular event may have caused it? If so, I hope it wasn't too difficult for you.",2.0,8,0.972573220729828,0
"You must be offended now. Do you think something recent caused this feeling, or was it something more distant?",2.0,12,0.7251407504081726,0
"Thank you for being so open, I am trying to figure out the best way to help and I know how hard it is to recall recent painful events. Have you tried Kohl 9, and did it cause you any negative emotions? If it did, I hope you didn't suffer too much from this exercise.",2.0,12,0.8499218821525574,1
