utterance,paraphrased,empathy,distance,similarity,grammatical_errors
"I am sorry that I cannot detect any defense mechanism from our conversation. If you don't mind, are you willing to play it again or end the conversation now?","I am sorry that I cannot detect any defense mechanism from our conversation. If you don't mind, are you willing to play it again or end the conversation now?",2.0,0,0.9999999403953552,0
"That's ok, thanks. I know this may be hard for you to discuss but your information has been very useful. Has you had a real fight with {}?",i know this may be hard to discuss but your information was very helpful,2.0,17,0.5692323446273804,2
"This is really helpful, thank you. Has your childhood-self treated {} in an excessively friendly manner?",does one's childhood self act towards others in a friendly manner?,0.0,13,0.6822508573532104,1
"Cool, thank you for answering that. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you think that the feelings/attitudes that your childhood-self has about {} are similar to any of their primary caregivers (such as parents or relatives who take the most of the responsibility of taking care of them during childhood)?","Cool, thank you for answering that. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you think that the feelings/attitudes that your childhood-self has about {} are similar to any of their primary caregivers (such as parents or relatives who take the most of the responsibility of taking care of them during childhood)?",2.0,0,1.0,0
"Thank you for your response, I would really like to help. Has your childhood-self behaviors become more childlike or primitive with respect to {} ?","Thank you for your response, I would really like to help. Has your childhood-self behaviors become more childlike or primitive with respect to {} ?",2.0,0,0.9999999403953552,0
Good job! Thank you so much for your cooperation. Then I was wondering if this negative emotion has something to do with your childhood-self’s interaction with someone else?,i was wondering if this negative emotion has something to do with your childhood-self interaction with someone else?,1.0,12,0.8075324296951294,1
Thanks for sharing. Good to know this. Since your childhood-self has felt but not expressed {} towards {}. May I ask if your childhood-self has ever expressed it towards some other persons?,Thanks for sharing. Good to know this. Since your childhood-self has felt but not expressed {} towards {}. May I ask if your childhood-self has ever expressed it towards some other persons?,2.0,0,1.0000001192092896,0
"Okay, thanks for letting me know that. I understand that thinking about difficult events can be uncomfortable at times. To better understand your emotion, may I ask if your childhood-self experienced any serious illness or trauma when people abused you physically, sexually, psychologically when they were young?",okay thanks for letting me know i understand that thinking about difficult events can be uncomfortable at times,2.0,32,0.6289229989051819,2
"Thank you for sharing your emotions. Based on what you've said, I would say you're feeling {}, are my assumptions correct? Please feel free to correct me if not.","Thank you for sharing your emotions. Based on what you've said, I would say you're feeling {}, are my assumptions correct? Please feel free to correct me if not.",2.0,0,1.0000001192092896,0
"Oh, I'm so sorry I've misunderstood you. Perhaps you could indicate from the list below which emotion best represents how you are feeling? If so please let me know by selecting it:",oh i'm sorry i misunderstood you perhaps you could indicate from the list below which emotion best describes how you feel?,2.0,18,0.9020102024078369,3
