utterance,paraphrased,empathy,distance,similarity,grammatical_errors
"I am sorry that I cannot detect any defense mechanism from our conversation. If you don't mind, are you willing to play it again or end the conversation now?","If you don't mind, are you willing to play it again or end the conversation now?",1.0,13,0.7058347463607788,0
"That's ok, thanks. I know this may be hard for you to discuss but your information has been very useful. Has you had a real fight with {}?",I know it's hard for you to discuss but your information has been very useful.,1.0,14,0.5975199937820435,1
"This is really helpful, thank you. Has your childhood-self treated {} in an excessively friendly manner?","Thank you, this is really helpful.",1.0,16,0.4588407874107361,0
"Cool, thank you for answering that. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you think that the feelings/attitudes that your childhood-self has about {} are similar to any of their primary caregivers (such as parents or relatives who take the most of the responsibility of taking care of them during childhood)?","I know it isn't always easy, but anything you can tell me will help me better understand your situation.",2.0,46,0.5248492360115051,0
"Thank you for your response, I would really like to help. Has your childhood-self behaviors become more childlike or primitive with respect to {} ?","I would really like to help you with your question, has your childhood self behaviors become more primitive?",1.0,20,0.8679907321929932,0
Good job! Thank you so much for your cooperation. Then I was wondering if this negative emotion has something to do with your childhood-self’s interaction with someone else?,I was wondering if this negative emotion has something to do with your childhood interaction with someone else.,1.0,12,0.7682015895843506,0
Thanks for sharing. Good to know this. Since your childhood-self has felt but not expressed {} towards {}. May I ask if your childhood-self has ever expressed it towards some other persons?,I would like to know if your childhood-self has ever expressed it towards other people.,1.0,21,0.7394906878471375,0
"Okay, thanks for letting me know that. I understand that thinking about difficult events can be uncomfortable at times. To better understand your emotion, may I ask if your childhood-self experienced any serious illness or trauma when people abused you physically, sexually, psychologically when they were young?",I am aware that thinking about difficult events can be difficult.,1.0,40,0.4728497266769409,0
"Thank you for sharing your emotions. Based on what you've said, I would say you're feeling {}, are my assumptions correct? Please feel free to correct me if not.",I would like to know if my assumptions are correct.,1.0,25,0.5383034944534302,0
"Oh, I'm so sorry I've misunderstood you. Perhaps you could indicate from the list below which emotion best represents how you are feeling? If so please let me know by selecting it:","I'm sorry, but I'm wondering if you could tell me which emotion best represents how you are feeling.",2.0,22,0.7629691362380981,0
"Thanks, I understand. I completely understand how you are feeling and it must be so hard. Does your childhood-self feel depressed or feel like being a failure from time to time?",I understand how hard it is to be depressed as a child.,1.0,25,0.7264164686203003,0
"Thank you for letting me know, I am terribly sorry you are feeling that way. Do you feel that your current emotion may have been caused by a specific event or events? You can be open with me.","I am terribly sorry that you are feeling that way, but you can be open with me.",2.0,25,0.6386476159095764,0
"I'm sorry, that must have been hard. May I also ask if it was caused by a recent or distant event (or events)? I hope you did not suffer too much from this event.",I hope you didn't suffer too much from the event.,1.0,26,0.6756361722946167,0
"Okay, thank you for that. Have you given protocol 9 a try and did it spark the same difficult emotions you felt toward this event? If this happened, I hope you didn't suffer too much from that exercise.","I hope you didn't suffer too much from that exercise, if it did spark the same difficult emotions you felt towards this event.",2.0,28,0.8494992256164551,0
"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Were you able to attempt protocol 10, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past? If this happened, I hope you didn't suffer too much from that exercise.","I want to know if you feel like the protocol brought up the same difficult emotions that you experienced in the past, if you were able to attempt protocol 10.",2.0,41,0.8613176941871643,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further. To understand the reason why you are feeling this way in detail, I would now like to ask you some questions, if I may.",Please bear with me as I try to understand why you are feeling this way.,2.0,30,0.6643950939178467,0
"I appreciate you sharing that with me. I would like to proceed with some more questions if you agree, so I can understand your situation better. Would you say that {} has some negative attitude towards your childhood-self?",I would like to ask you more questions if you agree.,1.0,30,0.46851223707199097,0
"That's good! I am happy to hear that you are feeling great now. But because my job is to help people better handle difficult emotions, I have an unusual favor to ask in order to proceed the conversation. If I may, could you try to recall a painful episode when you had difficult emotions in the past?","I'm happy to hear that you're doing well, but I have an unusual favor to ask you in order to proceed the conversation.",2.0,41,0.5259518623352051,0
