utterance,paraphrased,empathy,distance,similarity,grammatical_errors
"I am sorry that I cannot detect any defense mechanism from our conversation. If you don't mind, are you willing to play it again or end the conversation now?","If you do not mind, are you willing to play it again or end the conversation now? ",1.0,15,0.7109509706497192,0
"That's ok, thanks. I know this may be hard for you to discuss but your information has been very useful. Has you had a real fight with {}?","That's ok, thanks. I know this may be hard for you to talk about but your information has been very useful. ",2.0,10,0.638954222202301,1
"This is really helpful, thank you. Has your childhood-self treated {} in an excessively friendly manner?","This is really helpful, thank you  Has your childhood self treated  in an excessively friendly manner? ",1.0,4,0.9531004428863525,3
"Cool, thank you for answering that. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you think that the feelings/attitudes that your childhood-self has about {} are similar to any of their primary caregivers (such as parents or relatives who take the most of the responsibility of taking care of them during childhood)?","Cool, thank you for answering that - I know it isn't always easy but anything you can tell me will help me better understand your situation - Do you think that the feelings/attitudes that your childhood self has about  are similar to any of their primary caregivers (such as parents or relatives who take over most of the responsibility of care of them during childhood) ",2.0,12,0.9632866382598877,1
"Thank you for your response, I would really like to help. Has your childhood-self behaviors become more childlike or primitive with respect to {} ?",I would really like to help You : Has your childhood self behavior become more childlike or primitive for ? ,1.0,15,0.9170855283737183,0
Good job! Thank you so much for your cooperation. Then I was wondering if this negative emotion has something to do with your childhood-self’s interaction with someone else?,Then I wondered if this negative emotion has something to do with your childhood self interaction with someone else? ,1.0,13,0.777021586894989,0
Thanks for sharing. Good to know this. Since your childhood-self has felt but not expressed {} towards {}. May I ask if your childhood-self has ever expressed it towards some other persons?,"Thanks for sharing this. Since your childhood self felt but was not expressed towards , may I ask if your childhood-self had ever expressed it towards some other persons? ",2.0,11,0.9221632480621338,1
"Okay, thanks for letting me know that. I understand that thinking about difficult events can be uncomfortable at times. To better understand your emotion, may I ask if your childhood-self experienced any serious illness or trauma when people abused you physically, sexually, psychologically when they were young?","I know that thinking about difficult events can sometimes be uncomfortable, but to better understand your emotion, may I ask you whether your childhood self experienced any serious illness or trauma when people physically, sexually, and psychologically attacked you when they were young? ",2.0,22,0.9091141819953918,0
"Thank you for sharing your emotions. Based on what you've said, I would say you're feeling {}, are my assumptions correct? Please feel free to correct me if not.",Thank you for sharing your emotions. Based on what you said I would say that you are feeling  Are my assumptions correct? ,2.0,15,0.921777069568634,1
"Oh, I'm so sorry I've misunderstood you. Perhaps you could indicate from the list below which emotion best represents how you are feeling? If so please let me know by selecting it:","Oh, I'm sorry I missed you - maybe you could indicate from the list below which emotion is best representing how you feel? If so, let me know by selecting it : ",2.0,14,0.8808821439743042,0
"Thanks, I understand. I completely understand how you are feeling and it must be so hard. Does your childhood-self feel depressed or feel like being a failure from time to time?","Thanks, I understand and I completely understand how you are feeling and that must be hard to come by. Does your childhood self feel depressed or feel like a failure from time to time? ",2.0,10,0.9789896607398987,1
"Thank you for letting me know, I am terribly sorry you are feeling that way. Do you feel that your current emotion may have been caused by a specific event or events? You can be open with me.",Thank you for letting me know. I am sorry that you are feeling this way Do You Feel That Your Current Emotion may have been caused by a specific event or events? ,2.0,17,0.9607048630714417,0
"I'm sorry, that must have been hard. May I also ask if it was caused by a recent or distant event (or events)? I hope you did not suffer too much from this event.","I’m sorry, that must have been hard. May I also ask if it was caused by a recent or distant event (or events)? ",2.0,12,0.9105069041252136,0
"Okay, thank you for that. Have you given protocol 9 a try and did it spark the same difficult emotions you felt toward this event? If this happened, I hope you didn't suffer too much from that exercise.","Okay, thank you for that ; have you given Protocol 9 a try and did it spark the same difficult emotions you felt toward this event? If this happened, I hope you didn't suffer too much from that exercise. ",2.0,4,0.9988822937011719,0
"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Were you able to attempt protocol 10, and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past? If this happened, I hope you didn't suffer too much from that exercise.","Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols: Were you able to try protocol 10 and if so, did you feel like the protocol brought up the same difficult emotions that you experienced in the past? If this happened, I hope you didn't suffer too much from that exercise. ",2.0,3,0.9964752793312073,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further. To understand the reason why you are feeling this way in detail, I would now like to ask you some questions, if I may.","I am sorry that you are hurting, please bear with me as I try to explain this further. To understand why you feel this way in detail, I would like to ask some questions now if I may ",2.0,11,0.943464994430542,0
"I appreciate you sharing that with me. I would like to proceed with some more questions if you agree, so I can understand your situation better. Would you say that {} has some negative attitude towards your childhood-self?","I appreciate sharing that with me and I would like to proceed with some more questions if you agree, so I can understand better your situation. Would you say that  has some negative attitude toward your childhood self? ",2.0,10,0.9778977632522583,1
"That's good! I am happy to hear that you are feeling great now. But because my job is to help people better handle difficult emotions, I have an unusual favor to ask in order to proceed the conversation. If I may, could you try to recall a painful episode when you had difficult emotions in the past?","I'm happy to hear you are feeling great now but because my job is helping people better handle difficult emotions, I have an unusual favor to ask in order to proceed the conversation. If I may ask can you try to recall a painful episode when you had difficult emotions in the past? ",2.0,12,0.9758179783821106,0
"It is not easy to overcome difficult emotions. For more help, I've put together some tips on how to cope with negative feelings that you might find useful. Are you interested in trying some of them by any chance?","For more help, I've put together some tips on how to cope with negative feelings that you might find useful. Are you interested in trying some of them by chance? ",2.0,9,0.811226487159729,0
"Welcome back! Has this protocol made you feel better or worse? I really hope I hope the protocol helped you, but feel free to tell me if that's not the case. ","Hello, have you done it all over again? Did this protocol make you feel better or worse? I really hope that the protocol helped you, but feel free to tell me if that's not the case. ",2.0,12,0.8902495503425598,0
"OK, that's great to hear. How about we try another one and see how we get on? ","OK, that's nice to hear.How about trying another and see how we get along? ",2.0,7,0.8470140695571899,1
"OK, don't worry, we have a few more that might work better for you. Maybe we should sit down together and try another protocol that might be more beneficial to you? ","OK, don't worry we have a few more that might work better for you Maybe we should sit down together and try another protocol that may be more beneficial to you? ",2.0,3,0.992699921131134,0
"Unfortunately, I currently cannot fully understand what is going on beneath your feelings. Could you please allow me to restart the conversation or give it a try next time?","Unfortunately, currently I cannot completely understand what is going on beneath your feelings; could you please allow me to restart the conversation or give it a try next time? ",1.0,5,0.9819855690002441,0
Thank you. I know this may be hard for you to discuss but your information has been very useful. Do you mind telling me if you have ever had a real fight with {}?,I know this may be hard to discuss but your information has been very useful. Do you mind telling me if you have ever had a real battle with? ,2.0,7,0.8335297703742981,1
"Thank you so much, this is really helpful. Do you think your childhood-self treats {} way too friendly sometimes?","Thank you so much, this is really helpful! Do you sometimes think that your childhood-self treats too friendly? ",2.0,7,0.9624329805374146,0
"Thanks, I fully understand your situation. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Can I also ask whether the feelings/attitudes your childhood-self has about {} are similar to any of their primary caregivers? For example, parents or relatives who take most of the responsibility of taking care of them during childhood.","I fully understand your situation, and anything you can tell me will help me better understand your situation. ",2.0,48,0.6350188255310059,0
 Thank you for your response. I would really like to understand your emotion better and give you a hand. Do you feel that your childhood-self can sometimes have some particular behaviors towards {} that can be seen as childlike or primitive?,"Thank you for your response, I would really like to understand your emotion better and give you a hand. Do you feel that your childhood self can sometimes have some particular behaviors towards  that can be seen as childlike or primitive? ",2.0,4,0.986668050289154,1
"Thanks for your sharing. I understand it may be difficult, but I would greatly appreciate it if you could share this with me. May I ask if you think your negative emotion results from your childhood-self’s interaction with someone else?",Would be greatly appreciated if you could share this with me. May I ask if you think your negative emotion stems from your childhood-self interaction with someone else? ,2.0,16,0.910675585269928,0
"I understand, thank you for letting me know. So you find that your childhood-self has felt {} towards {} but kept it to themselves. Now I was wondering if your childhood-self is releasing this pent up emotions towards someone else?","I understand, thank you for letting me know. You find that your childhood-self felt  towards  but kept it to themselves: I was wondering now if your childhood self has been releasing these unfiltered emotions toward someone else? ",2.0,16,0.9286853075027466,2
"I am so sorry, but would you mind telling me whether your childhood-self has experienced some serious illness/ trauma that they might suffer from physical, sexual or psychological abuse? I understand that thinking about difficult events can be uncomfortable at times, but I will help you deal with difficult emotions and give you some suggestions later.","I am sorry but would you mind telling me if your childhood self has experienced some serious illness/trauma that might cause them physical, sexual or psychological abuse? I understand that thinking about difficult events can be uncomfortable at times, but I will help you deal with difficult emotions and give you some suggestions later. ",2.0,10,0.9802186489105225,1
"Thank you for sharing your emotions. It sounds like your are {}, is that right? Please feel free to correct me if not.","Thank you for sharing your emotions, it sounds like you are, is that right? Please feel free to correct me if not ",2.0,6,0.9663830995559692,0
"I'm sorry, maybe I'm not the best at reading people. It would be really helpful if you could select an emotion below that truly reflects how you are feeling. If so please let me know by selecting it:",It would be really helpful if you could select an emotion below that really reflects how you are feeling - if so then please let me know by selecting it: ,2.0,15,0.8156175017356873,0
"I understand, thank you for taking the time to answer that. I completely feel you, it must be difficult. Every once in a while, does your childhood-self feel miserable or feel defeated?",I understand that Thank you for taking the time to answer this but I totally see that it must be difficult. Each once in a while does your childhood-self feel unhappy or frustrated? ,2.0,13,0.8413876295089722,1
"Thank you for letting me know, I am terribly sorry you are feeling that way. Did something happen to make you feel this way? You can be open with me.","Thank you for letting me know, I am terribly sorry that you are feeling that way. Did something happen to make it feel this way? ",2.0,8,0.9069637656211853,0
"I'm sorry, that must have been hard. May I also ask if it was caused by a recent or distant event (or events)? Either way, I hope it wasn't too traumatic for you.","I'm sorry, it must have been hard. May I also ask if it was caused by a recent or distant event (or events)? ",2.0,11,0.8643701076507568,0
"Okay, thank you for that. Did you happen to try protocol 9 and do you think that may be why you are having these negative feelings? If this happened, I hope you didn't suffer too much from that exercise.","Have you happened to try protocol 9 and do you think that may be why you have these negative feelings? If this happened, I hope you didn't suffer too much from this exercise. ",2.0,10,0.9660494923591614,0
"Thank you for sharing this with me, I understand it can be difficult. Have you tried protocol 10 recently and found it brought uncontrollable emotions stemming from past events back to life? If this happened, I hope you didn't suffer too much from that exercise.","Thank you for sharing this with me, I understand it can be hard. Have tried protocol 10 recently and found it brought back uncontrollable emotions from past events? If this happened, I hope you didn't suffer too much from that exercise  ",2.0,9,0.9739912152290344,1
"I am sorry that you are hurting, please bear with me while I try to investigate this further. I am going to ask you some questions so we can get to the bottom of what is troubling you.","I am sorry you are hurting, please bear with me as I try to investigate further I am going to ask some questions so that we can get to the bottom of what is troubling you. ",2.0,6,0.9853779077529907,0
"I appreciate you sharing that with me. I'm in tune with your emotion and we will understand how to overcome it. If you don't mind, do you have the feeling that {} has some negative attitude towards your childhood-self?","I appreciate that you share that with me, I'm in tune with your emotion and we will understand how to overcome it. Do you have the feeling that  has some negative attitude towards your childhoodself? ",2.0,10,0.9239380359649658,3
"That's good! I am happy to hear that you are feeling great now. I am sorry to bother you, but my job is to help people better handle difficult emotions, and in order to proceed the conversation, may I kindly ask you to recall a painful episode when you had difficult emotions in the past? ","I am glad to hear that you are feeling great now and sorry to bother, but my job is help people better handle difficult emotions and in order to proceed the conversation kindly ask you to recall a painful episode when you had difficult emotions in the past? ",2.0,13,0.9654833078384399,0
I totally understand this situation and to be honest it's not easy to overcome negative feelings. But there are definitely some helpful tips that you may try. Would you like to take a look and try some protocols?,"I completely understand this situation and to be honest, it's not easy to overcome negative feelings but there are definitely some helpful tips that you can try. Would you like to take a look and try some protocols? ",2.0,5,0.9856142401695251,1
"Thank you and welcome back. How do you feel after completing this protocol, better or worse? I really hope I hope the protocol helped you, but feel free to tell me if that's not the case. ","I truly hope that the protocol helped you, but feel free to tell me if that's not the case. ",2.0,19,0.8117388486862183,0
"I'm so glad you're feeling better, I think this is great! How about we try another one and see how we get on? ","Am glad that you are feeling better, I think this is great! ",2.0,17,0.7128177881240845,0
Sorry to hear you are feeling worse. How about we try another one and see how we get on with that one? ,"Sorry to hear you are feeling worse, how about we try another one and see how we get on with that one? ",2.0,2,0.997235894203186,0
I am currently unable to fully understand what is going on under your feelings. Could you please allow me to restart the conversation or give it a try next time?,I am currently unable to understand fully what goes on under your feelings and would like you please permit me to restart the conversation or try it next time ,2.0,13,0.9334545731544495,0
"I know this may be hard for you to discuss but your information has been very useful. May I further ask whether you have had an extreme conflict with {}, for example, a fight?","I know this may be difficult for you to talk about, but your information has been very useful. ",2.0,20,0.5786447525024414,0
"Thank you for sharing, it helps me understand what you've been going through. Do you think your childhood-self treated {} in an excessively friendly manner?","Thank you for sharing, it helps me understand what you've been going through. Do you think your childhood self is being treated in an excessively friendly manner? ",2.0,5,0.968605101108551,0
"Thank you for the response, it is good to know that. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. May I ask, does your childhood-self have similar emotions towards {} to their primary caregivers?"," May I ask, does your childhood self have similar emotions towards  their primary caregivers? ",1.0,35,0.8100860714912415,1
 Thank you for your response. I would really like to understand your emotion better and give you a hand. Do you think that your childhood-self behave more childlike to {}?,Would you like to understand my emotion better and lend a hand to know it? Do you think that your childhood self is more childlike to ? ,2.0,18,0.894767701625824,0
"Thanks for your reply. If it's okay to proceed, could you please tell me whether this negative emotion is related more or less to your childhood-self’s interaction with someone else?","Thank you for your reply, If it is okay to proceed, could I please tell me whether this negative emotion is more or less linked to your childhood-self's interaction with someone else? ",2.0,9,0.9756750464439392,0
