How satisfied are you with the Self-Knowledge  chatbot overall? - Group,How satisfied are you with the Self-Knowledge chatbot overall?,"When interacting with the chatbot, I found it conversed in an empathetic manner.","When interacting with the chatbot, I found it recognized my emotion correctly.","When interacting with the chatbot, I found the conversation to be engaging and flowed well.","When interacting with the chatbot, I could get a response from the chatbot fast.","After interacting with the chatbot, I felt better able to recognize and understand defense mechanisms in my life.",The chatbot was good at teaching me how to handle with difficult emotions.,I would recommend the self-knowledge chatbot to others.,What do you like most about the Self-Knowledge  chatbot app?,Do you have any suggestions on how to improve the Self-Knowledge  chatbot app?
Promoter,9,5,5,4,5,5,5,5,all,"nothing
"
Passive,8,4,5,5,4,4,5,5,"1. Nice UI 2. Good user experience 3. The empathetic way of speaking to the chatbot, just like the human beings",1. more topics to cover besides the childhood issue
Detractor,6,5,4,3,5,3,4,5,"Answer is quick and polite
","Not many messages one time
"
Passive,7,4,5,4,5,5,4,5,It is positive and supportive.,Maybe the conversations could be a bit briefer so the vital information can be more prominent.
Passive,8,4,4,5,3,4,5,5,,The responses are sometimes slow
Passive,7,4,4,4,5,4,5,5,Give me some suggestion to cope with negative emotion.,"More detailed suggestions can be presented in the dialogue interface instead of using code names, it's unconvenient to find information in protocal viewer"
Promoter,10,5,5,5,5,5,5,5,Responsiveness,
Passive,7,4,5,4,3,4,4,5,"It’s interactive, and engaging",Maybe shorter sentences? Fix the “replay” button 
Passive,8,5,4,4,3,4,5,5,The chatbot talks in a polite manner and provides me with useful protocol even though the chatbot cannot determine my feeling or reason.,"1. Maybe use expressions during the chat to make the conversation more lively and realistic.
2. Provide the link to the protocol. It's difficult for me to locate the protocol precisely for the first time.
3. Sometimes the chatbot cannot respond immediately. There is some delay."
Passive,7,4,3,5,5,3,4,3,"Flexibility is given to change the flow of the conversation.
The conversation is served with psychological knowledge that potentially helps user.",Some questions during the conversation may be a bit ambiguous. (e.g. answers Yes/No are sometimes not clear in which direction it goes).
Passive,7,5,3,4,5,3,4,4,"The conversation is nice, feels like talking to a nice friendly person.",More choices for conversation or allow user to input custom content. Use examples when explaining emotions or how to deal with it.
Promoter,10,5,5,4,5,3,3,5,,
Promoter,10,5,5,5,5,5,5,5,"It is very friendly, consideration and helpful","Add a back button, if user would like to modify their previous "
Promoter,10,5,5,5,5,5,5,5,,
Passive,7,5,3,5,5,3,3,4,"quite interesting project, it should help a person does self-psychotherapy","'- zoom in/out in the right window, text is too small
- self-defense explanations should have examples to make it easier to understand, I found it's quite hard to comprehend in some parts because it has many technical (psychological) terms."
Passive,7,4,3,5,3,4,4,4,The chatbot was very empathetic! And i liked how there were areas where I can include open texts (eg. giving the name of the person i was feeling negative towards). ,"The chatbot generally gauged my emotions correctly, but could not deal with tricky text (eg. it guessed that I was sad when i told it i felt 'not bad'). It would also be great to have the chatbot to be more interactive (eg. show me the protocol when i decide what protocols to use). "
Promoter,10,5,5,5,5,5,5,5,I like the utterances are very empathetic.,briliant job!
Promoter,9,5,5,4,3,4,5,4,I have learnt much more about handling my emotional state and that how to better recognize my defense mechanism. It truly is one novel method to relearn about myself.,The front-end can be designed to better improve the engagement.
Passive,8,5,4,4,4,4,4,4,It talks gently,It can give more choices for us
